soc_code;socxx_code;socxx_desc
49-2097;492097;Electronic Home Entertainment Equipment Installers and Repairers
49-2098;492098;Security and Fire Alarm Systems Installers
49-3011;493011;Aircraft Mechanics and Service Technicians
49-3021;493021;Automotive Body and Related Repairers
49-3022;493022;Automotive Glass Installers and Repairers
49-3023;493023;Automotive Service Technicians and Mechanics
49-3031;493031;Bus and Truck Mechanics and Diesel Engine Specialists
49-3041;493040;Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics
49-3042;493040;Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics
49-3043;493040;Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics
49-3051;493050;Small Engine Mechanics
49-3052;493050;Small Engine Mechanics
49-3053;493050;Small Engine Mechanics
49-3091;493090;Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers
49-3092;493090;Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers
49-3093;493090;Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers
49-9011;499010;Control and Valve Installers and Repairers
49-9012;499010;Control and Valve Installers and Repairers
49-9021;499021;Heating, Air Conditioning, and Refrigeration Mechanics and Installers
49-9031;499031;Home Appliance Repairers
49-9041;49904X;Industrial and Refractory Machinery Mechanic
49-9043;499043;Maintenance Workers, Machinery
49-9044;499044;Millwrights
49-9045;49904X;Industrial and Refractory Machinery Mechanic
49-9051;499051;Electrical Power-Line Installers and Repairers
49-9052;499052;Telecommunications Line Installers and Repairers
49-9061;499060;Precision Instrument and Equipment Repairers
49-9062;499060;Precision Instrument and Equipment Repairers
49-9063;499060;Precision Instrument and Equipment Repairers
49-9064;499060;Precision Instrument and Equipment Repairers
49-9069;499060;Precision Instrument and Equipment Repairers
49-9071;499071;Maintenance and Repair Workers, General
49-9081;4990XX;Miscellaneous Installation, Maintenance, and Repair Workers, including, Wind Turbine Service Technicians
49-9091;499091;Coin, Vending, and Amusement Machine Servicers and Repairers
49-9092;4990XX;Miscellaneous Installation, Maintenance, and Repair Workers, including, Wind Turbine Service Technicians
49-9093;4990XX;Miscellaneous Installation, Maintenance, and Repair Workers, including, Wind Turbine Service Technicians
49-9094;499094;Locksmiths and Safe Repairers
49-9095;4990XX;Miscellaneous Installation, Maintenance, and Repair Workers, including, Wind Turbine Service Technicians
49-9096;499096;Riggers
49-9097;4990XX;Miscellaneous Installation, Maintenance, and Repair Workers, including, Wind Turbine Service Technicians
49-9098;499098;Helpers--Installation, Maintenance, and Repair Workers
49-9099;4990XX;Miscellaneous Installation, Maintenance, and Repair Workers, including, Wind Turbine Service Technicians
51-1011;511011;First-Line Supervisors of Production and Operating Workers
51-2011;512011;Aircraft Structure, Surfaces, Rigging, and Systems Assemblers
51-2021;512020;Electrical, Electronics, and Electromechanical Assemblers
51-2028;512020;Electrical, Electronics, and Electromechanical Assemblers
51-2031;512031;Engine and Other Machine Assemblers
51-2041;512041;Structural Metal Fabricators and Fitters
51-2091;512090;Miscellaneous Assemblers and Fabricators
51-2093;512090;Miscellaneous Assemblers and Fabricators
51-2098;512090;Miscellaneous Assemblers and Fabricators
51-3011;513011;Bakers
51-3021;513020;Butchers and Other Meat, Poultry, and Fish Processing Workers
51-3022;513020;Butchers and Other Meat, Poultry, and Fish Processing Workers
51-3023;513020;Butchers and Other Meat, Poultry, and Fish Processing Workers
51-3091;513091;Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders
51-3092;513092;Food Batchmakers
51-3093;513093;Food Cooking Machine Operators and Tenders
51-3099;513093;Food Cooking Machine Operators and Tenders
51-4011;514010;Computer Control Programmers and Operators
51-4012;514010;Computer Control Programmers and Operators
51-4021;514021;Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic
51-4022;514022;Forging Machine Setters, Operators, and Tenders, Metal and Plastic
51-4023;514023;Rolling Machine Setters, Operators, and Tenders, metal and Plastic
51-4031;514030;Machine Tool Cutting setters, Operators, and Tenders, Metal and Plastic
51-4032;514030;Machine Tool Cutting setters, Operators, and Tenders, Metal and Plastic
51-4033;514030;Machine Tool Cutting setters, Operators, and Tenders, Metal and Plastic
51-4034;514030;Machine Tool Cutting setters, Operators, and Tenders, Metal and Plastic
51-4035;514030;Machine Tool Cutting setters, Operators, and Tenders, Metal and Plastic
51-4041;514041;Machinists
51-4051;514050;Metal Furnace Operators, Tenders, Pourers, and Casters
51-4052;514050;Metal Furnace Operators, Tenders, Pourers, and Casters
51-4061;5140XX;Model Makers, Patternmakers, and Molding Machine Setters, Metal and Plastic
51-4062;5140XX;Model Makers, Patternmakers, and Molding Machine Setters, Metal and Plastic
51-4071;5140XX;Model Makers, Patternmakers, and Molding Machine Setters, Metal and Plastic
51-4072;5140XX;Model Makers, Patternmakers, and Molding Machine Setters, Metal and Plastic
51-4081;5140XX;Model Makers, Patternmakers, and Molding Machine Setters, Metal and Plastic
51-4111;514111;Tool and Die Makers
51-4121;514120;Welding, Soldering, and Brazing Workers
51-4122;514120;Welding, Soldering, and Brazing Workers
51-4191;514XXX;Miscellaneous Metal Workers and Plastic Workers, including Multiple Machine Tool Setters
51-4192;514XXX;Miscellaneous Metal Workers and Plastic Workers, including Multiple Machine Tool Setters
51-4193;514XXX;Miscellaneous Metal Workers and Plastic Workers, including Multiple Machine Tool Setters
51-4194;514XXX;Miscellaneous Metal Workers and Plastic Workers, including Multiple Machine Tool Setters
51-4199;514XXX;Miscellaneous Metal Workers and Plastic Workers, including Multiple Machine Tool Setters
51-5111;515111;Prepress Technicians and Workers
51-5112;515111;Prepress Technicians and Workers
51-5113;515113;Print Binding and Finishing Workers
51-6011;516011;Laundry and Dry-Cleaning Workers
51-6021;516021;Pressers, Textile, Garment, and Related Materials
51-6031;516031;Sewing Machine Operators
51-6041;516040;Shoe and Leather Workers
51-6042;516040;Shoe and Leather Workers
51-6051;516050;Tailors, Dressmakers, and Sewers
51-6052;516050;Tailors, Dressmakers, and Sewers
51-6061;51606X;Textile bleaching and dyeing, and cutting machine setters, operators, and tenders
51-6062;51606X;Textile bleaching and dyeing, and cutting machine setters, operators, and tenders
51-6063;516063;Textile Knitting and Weaving Machine Setters, Operators, and Tenders
51-6064;516064;Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders
51-6091;51609X;Miscellaneous textile, apparel, and furnishings workers except upholsterers
51-6092;51609X;Miscellaneous textile, apparel, and furnishings workers except upholsterers
51-6093;516093;Upholsterers
51-6099;51609X;Miscellaneous textile, apparel, and furnishings workers except upholsterers
51-7011;517011;Cabinetmakers and Bench Carpenters
51-7021;517021;Furniture Finishers
51-7031;5170XX;Miscellaneous Woodworkers, including Model Makers and Patternmakers
51-7032;5170XX;Miscellaneous Woodworkers, including Model Makers and Patternmakers
51-7041;517041;Sawing Machine Setters, Operators, and Tenders, Wood
51-7042;517042;Woodworking Machine Setters, Operators, and Tenders, Except Sawing
51-7099;5170XX;Miscellaneous Woodworkers, including Model Makers and Patternmakers
51-8011;518010;Power Plant Operators, Distributors, and Dispatchers
51-8012;518010;Power Plant Operators, Distributors, and Dispatchers
51-8013;518010;Power Plant Operators, Distributors, and Dispatchers
51-8021;518021;Stationary Engineers and Boiler Operators
51-8031;518031;Water and Wastewater Treatment Plant and System Operators
51-8091;518090;Miscellaneous Plant and System Operators
51-8092;518090;Miscellaneous Plant and System Operators
51-8093;518090;Miscellaneous Plant and System Operators
51-8099;518090;Miscellaneous Plant and System Operators
51-9011;519010;Chemical Processing Machine Setters, Operators, and Tenders
51-9012;519010;Chemical Processing Machine Setters, Operators, and Tenders
51-9021;519020;Crushing, Grinding, Polishing, Mixing, and Blending Workers
51-9022;519020;Crushing, Grinding, Polishing, Mixing, and Blending Workers
51-9023;519020;Crushing, Grinding, Polishing, Mixing, and Blending Workers
51-9031;519030;Cutting Workers
51-9032;519030;Cutting Workers
51-9041;519041;Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders
51-9051;519051;Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders
51-9061;519061;Inspectors, Testers, Sorters, Samplers, and Weighers
51-9071;519071;Jewelers and Precious Stone and Metal Workers
51-9081;519080;Medical, Dental, and Ophthalmic Laboratory Technicians
51-9082;519080;Medical, Dental, and Ophthalmic Laboratory Technicians
51-9083;519080;Medical, Dental, and Ophthalmic Laboratory Technicians
51-9111;519111;Packaging and Filling Machine Operators and Tenders
51-9121;519120;Painting Workers
51-9122;519120;Painting Workers
51-9123;519120;Painting Workers
51-9141;5191XX;Micellaneous Production Workers, including Semiconductor Processors
51-9151;519151;Photographic Process Workers and Processing Machine Operators
51-9191;519191;Adhesive Bonding Machine Operators and Tenders
51-9192;5191XX;Micellaneous Production Workers, including Semiconductor Processors
51-9193;5191XX;Micellaneous Production Workers, including Semiconductor Processors
51-9194;519194;Etchers and Engravers
51-9195;519195;Molders, Shapers, and Casters, Except Metal and Plastic
51-9196;519196;Paper Goods Machine Setters, Operators, and Tenders
51-9197;519197;Tire Builders
51-9198;519198;Helpers--Production Workers
51-9199;5191XX;Micellaneous Production Workers, including Semiconductor Processors
53-1011;531000;Supervisors ofTransportation and Material Moving Workers
53-1048;531000;Supervisors ofTransportation and Material Moving Workers
53-2011;532010;Aircraft Pilots and Flight Engineers
53-2012;532010;Aircraft Pilots and Flight Engineers
53-2021;532020;Air Traffic Controllers and Airfield Operations Specialists
53-2022;532020;Air Traffic Controllers and Airfield Operations Specialists
53-2031;396030;Transportation Attendants
53-3011;533011;Ambulance Drivers and Attendants, Except Emergency Medical Technicians
53-3021;533020;Bus Drivers
53-3022;533020;Bus Drivers
53-3031;533030;Driver/Sales Workers and Truck Drivers
53-3032;533030;Driver/Sales Workers and Truck Drivers
53-3033;533030;Driver/Sales Workers and Truck Drivers
53-3041;533041;Taxi Drivers and Chauffeurs
53-3099;533099;Motor Vehicle Operators, All Other
53-4011;534010;Locomotive Engineers and Operators
53-4012;534010;Locomotive Engineers and Operators
53-4013;534010;Locomotive Engineers and Operators
53-4021;5340XX;Subway, Streetcar, and Other Rail Transportation Workers
53-4031;534031;Railroad Conductors and Yardmasters
53-4041;5340XX;Subway, Streetcar, and Other Rail Transportation Workers
53-4099;5340XX;Subway, Streetcar, and Other Rail Transportation Workers
53-5011;5350XX;Sailors and marine oilers, and ship engineers
53-5021;535020;Ship and Boat Captains and Operators
53-5022;535020;Ship and Boat Captains and Operators
53-5031;5350XX;Sailors and marine oilers, and ship engineers
53-6011;5360XX;Miscellaneous Transportation Workers, including Bridge and Lock Tenders and Traffic Technicians
53-6021;536021;Parking Lot Attendants
53-6031;5360XX;Miscellaneous Transportation Workers, including Bridge and Lock Tenders and Traffic Technicians
53-6041;5360XX;Miscellaneous Transportation Workers, including Bridge and Lock Tenders and Traffic Technicians
53-6051;536051;Transportation Inspectors
53-6061;396030;Transportation Attendants
53-6099;5360XX;Miscellaneous Transportation Workers, including Bridge and Lock Tenders and Traffic Technicians
53-7011;5370XX;Conveyor operators and tenders, and hoist and winch operators
53-7021;537021;Crane and Tower Operators
53-7031;537030;Dredge, Excavating, and Loading Machine Operators
53-7032;537030;Dredge, Excavating, and Loading Machine Operators
53-7033;537030;Dredge, Excavating, and Loading Machine Operators
53-7041;5370XX;Conveyor operators and tenders, and hoist and winch operators
53-7051;537051;Industrial Truck and Tractor Operators
53-7061;537061;Cleaners of Vehicles and Equipment
53-7062;537062;Laborers and Freight, Stock, and Material Movers, Hand
53-7063;537063;Machine Feeders and Offbearers
53-7064;537064;Packers and Packagers, Hand
53-7071;537070;Pumping Station Operators
53-7072;537070;Pumping Station Operators
53-7073;537070;Pumping Station Operators
53-7081;537081;Refuse and Recyclable Material Collectors
53-7111;5371XX;Miscellaneous Material Moving Workers, including Shuttle Car Operators, and Tank Car, Truck, and Ship Loaders
53-7121;5371XX;Miscellaneous Material Moving Workers, including Shuttle Car Operators, and Tank Car, Truck, and Ship Loaders
53-7199;5371XX;Miscellaneous Material Moving Workers, including Shuttle Car Operators, and Tank Car, Truck, and Ship Loaders
39-7010;397010;Tour and Travel Guides
25-1194;251000;Postsecondary Teachers
25-1067;251000;Postsecondary Teachers
25-1113;251000;Postsecondary Teachers
25-1069;251000;Postsecondary Teachers
25-1193;251000;Postsecondary Teachers
25-1066;251000;Postsecondary Teachers
25-1199;251000;Postsecondary Teachers
25-1065;251000;Postsecondary Teachers
25-1054;251000;Postsecondary Teachers
25-1126;251000;Postsecondary Teachers
25-1072;251000;Postsecondary Teachers
25-1022;251000;Postsecondary Teachers
25-1082;251000;Postsecondary Teachers
25-1112;251000;Postsecondary Teachers
25-1192;251000;Postsecondary Teachers
25-1125;251000;Postsecondary Teachers
25-1071;251000;Postsecondary Teachers
25-1064;251000;Postsecondary Teachers
25-1043;251000;Postsecondary Teachers
25-1124;251000;Postsecondary Teachers
25-1053;251000;Postsecondary Teachers
25-1123;251000;Postsecondary Teachers
25-1032;251000;Postsecondary Teachers
25-1081;251000;Postsecondary Teachers
25-1063;251000;Postsecondary Teachers
25-1111;251000;Postsecondary Teachers
25-1021;251000;Postsecondary Teachers
25-1122;251000;Postsecondary Teachers
25-1052;251000;Postsecondary Teachers
25-1011;251000;Postsecondary Teachers
25-1042;251000;Postsecondary Teachers
25-1051;251000;Postsecondary Teachers
25-1121;251000;Postsecondary Teachers
25-1062;251000;Postsecondary Teachers
25-1031;251000;Postsecondary Teachers
25-1061;251000;Postsecondary Teachers
25-1041;251000;Postsecondary Teachers
29-2010;292010;Clinical Laboratory Technologists and Technicians
13-1020;131022;Wholesale and Retail Buyers, Except Farm Products
